"id","countryCode","country","nama_gdp_c","yth_demo_010","sts_coprgr_a","env_wasgen","rd_e_gerdtot","rd_p_perslf","inn_cis6_type","htec_trd_tot4","pat_ep_ntec","tec00114","tec00021","tec00023","tsdde410","tec00118","tps00010","tsdde220","tps00017","tps00001","tps00157","tps00046","tps00180","tsdec460","tin00096","tin00011","tin00089","tin00099","tin00060","tin00183","tag00031","tag00035","tag00016","tag00017","tag00074","tsdpc340","tsdtr420","ttr00012","ten00110","ten00052","ten00064","t2020_31","tsdcc330","ten00117","tsc00009","t2020_10",
0,"at","AUS","17500","1219363","-1.9","52045","863.4","2.61","1","11.7","18.87","129","18.3","18.2","74.5","2.1","5.0","1.44","30.2","8507786","997038","764.7174","0.7","9.2","66","61","99","13","83","981070","4590.1","53.3","1958.28","357.44","4836.77âˆ‚","528","531","25749724","1146025","0.31","5.66","34","65.5","0.0871","1800.77","77",
1,"be","BEL","25700","1898072","-4.5","1897","612.6","2.09","1","8.6","48.83","119","22.5","22.4","101.5","1.2","5.3","1.79","30.0","11203992","1253902","634.8626","-0.2","23.7","57","48","98","30","108","372867","3155.9","249.8","2441.32","146.43","2031.54","22240","487","858","228130","26387222","593994","0.29","4.76","13","11.1","0.0914","1475.01","73.2",
2,"bg","BUL","8500","989989","-8.7","3560","64.9","0.7","1","9.0","0.5","47","15.0","15.1","18.9","0.4","4.3","1.50","27.1","7245677","45201","644.9223","-0.4","28.4","22","88","100","0","139","302433","8950","119.1","585.55","1369.58","321.46","15093","385","901","28841","7078294","0","0.61","10.11","16","17.0","0.0803","18.54","76",
3,"cy","C","9600","141794","-36.0","0","91.3","0.7","1","6.2","0.33","86","9.5","10.0","111.7","0.4","2.9","1.39","30.6","858000","170076","351.1654","-5.2","38.9","37","83","99","7","133","86645","60.9","13.5","57.08","313.46","0.00","5629","549","51","6236","7011437","46397","0.36","7.63","13","4.9","0.2002","6.78","75",
4,"de","GER","14200","10736998","2.2","2103352","866.7","2.1","1","13.5","258.72","124","19.7","19.5","78.4","1.6","5.4","1.38","30.6","80780000","7696413","822.2398","0.6","7.9","80","46","97","21","132","3464600","47757.2","69.3","12685.99","1573.97","22393.00","231919","530","4009","297281","180781589","0","0.5","5.56","18","23.6","0.0860","22666.35","77",
5,"dk","DEN","15800","977596","-14.1","604","807","3.16","1","13.2","7","125","3.0","3.0","44.5","0.5","4.2","1.73","30.7","5627235","374569","349.7857","0.2","13.0","81","17","94","62","124","417594","9117","12.5","1583","90","422.70","536220","468","167","87827","27453282","274688","8.05","30","38.7","0.0898","1229.57","80",
6,"el","GRE","6300","1622022","-2.2","1551","122.4","1.72","7.0","0.5","75","22.8","20.2","175.1","-0.9","5.7","1.34","30.7","10992589","862381","484.8459","-4.1","58.3","40","88","98","1","180","1118685","4319.7","979.6","679","9520","507.90","169577","348","1141","153124","31575703","0","8.45","18","16.5","0.1040","52.48","70",
7,"es","ESP","7800","7089998","-5.8","786780","283.4","1.95","1","7.7","2.75","95","14.6","15.8","93.9","1.5","5.5","1.32","31.6","46507760","5072680","308.8971","-3.0","55.5","43","75","99","9","111","3437362","24297.2","3776.8","5696.91","16118.59","6176.80","1024420","476","2060","422152","157731973","373386","0.23","4.82","20","33.5","0.1165","1550.62","74",
8,"eu28","EU","10800","79157686","-3.6","4840000","464","1.83","15.6","667.85","100","16.3","16.4","87.1","1.5","5.1","1.58","30.1","507416607","14713.5485","-0.3","23.5","61","57","97","19","29831133","87645.12","98898.9","95148.95","6141891","3732638","6500000","0.39","6.05","20","23.5","0.0940","54684.77","75",
9,"fi","FIN","11600","891392","-1.0","54744","939.8","3.27","1","9.9","9.75","112","22.2","20.0","57.0","2.2","5.0","1.80","30.4","5451270","194250","552.1437","-1.3","19.9","71","27","99","55","145","254112","4148.2","38.3","903.36","94.15","11755.16","150731","560","255","105120","16565391","0","0.43","6.96","38","29.5","0.0679","1456.25","78",
10,"hu","HUN","15200","1430865","8.8","2587","184.5","1.45","1","17.6","2.5","67","17.1","16.7","79.2","1.7","4.1","1.34","29.4","9879000","141122","718.7221","0.4","27.2","38","75","99","5","118","382819","13611.3","138.1","772","1238","710.75","301","605","8459015","3949","0.71","6.5","14.65","6.1","0.0904","196.8","75",
11,"ie","IRE","27500","1004258","4.7","0","520.6","1.97","1","19.3","2","126","5.2","5.2","123.7","0.5","2.9","2.01","31.5","4604029","543636","294.7130","2.4","26.8","57","60","81","15","119","215289","2345.8","4.7","6309.05","3321.3","60.00","312059","425","212","47649","24603292","7505","8.68","16","19.6","0.1331","300.24","69",
12,"it","ITA","7100","8348338","","978387","278.8","1.51","1","8.9","44.69","98","21.0","20.9","132.6","1.3","6.3","1.43","31.4","60782668","4387721","342.4486","-2.0","40.0","32","77","98","8","151","4728180","14932.7","5234.6","6249.29","7181.83","8536.01","376764","621","4090","476823","116029388","5185","0.76","6.86","17","27.6","0.1122","4132.23","67",
13,"lt","LIT","16400","436576","8.7","0","141.6","1.79","1","5.0","1.5","74","11.5","12.5","39.4","1.2","4.8","1.60","29.0","2943472","22224","744.1489","1.3","21.9","37","82","99","7","148","69287","4459.3","12.2","713.5","99.6","136.70","73758","570","39757","3482358","15229","0.35","6.12","23","10.9","0.1228","18.28","72.8",
14,"lu","L","97200","91233","-4.4","0","810.5","2.75","1","20.1","0.5","264","20.1","18.5","23.1","1.7","3.9","1.57","31.0","549680","238844","536.7361","1.7","16.9","74","20","74","47","146","66747","173.3","0.1","198.24","7.51","21.02","660","34","2168748","5963","6.16","11","4.6","0.0940","76.09","73",
15,"lv","LAT","10600","292316","10.7","0","60.2","1.17","1","7.0","1","67","8.7","9.0","38.1","0.0","4.7","1.44","28.8","2001468","315414","588.4314","2.3","23.2","42","72","98","13","99","38400","1948.7","6.4","406.49","67.07","49.26","90076","305","177","67148","4782257","201907","0.35","8.65","40","44.9","0.1125","15.82","73",
16,"mt","M","19800","61319","-3.4","0","166.5","1.28","1","17.0","1","87","","","73.0","1.0","3.7","1.43","29.8","425384","22466","445.6780","3.3","13.0","65","75","100","12","102","43360","0","12.3","15.22","10.93","0.00","9644","592","13","5474","4031848","0","8.86","10","1.1","0.1800","3.5","70",
17,"nl","NED","25500","2877922","","31","658","2.04","1","17.6","52.02","127","18.8","20.1","73.5","2.6","4.2","1.72","30.9","16829289","714552","465.6878","-1.0","11.0","73","20","92","57","122","1404852","1810.3","855","4090","1074","2750.00","391198","470","562","543247","55680131","519934","0.29","9.12","14","10.5","0.0789","2735.2","80",
18,"pl","POL","7900","5796614","-15.7","11925","137.6","0.86","1","10.5","1.17","68","16.5","17.0","57.0","0.8","3.7","1.30","28.9","38495659","58859","654.6945","-0.1","27.3","49","79","96","6","118","679445","28376.8","761.5","5589.54","218.51","4064.00","212920","486","3571","64282","21791428","0","0.9","7.75","15","10.7","0.0883","465.91","71",
19,"pt","POR","7700","1550201","-15.7","1019","262.4","2.32","1","7.4","3.17","75","14.4","14.2","129.0","0.4","5.3","1.28","30.2","10427301","417042","337.8896","-2.8","38.1","38","78","99","7","151","491099","1052.7","1186.8","1470.5","2073.65","2116.10","206373","406","718","67875","28186254","0","0.19","6.73","31","47.6","0.1015","73.92","75",
20,"se","SWE","13100","1611859","14.1","117534","998.5","2.71","1","13.9","3.52","127","6.9","7.1","40.6","0.4","5.2","1.91","30.9","9644864","659374","270.5622","1.0","23.6","76","20","","60","126","805033","4994.2","15.1","1443.52","585.35","11782.00","163876","464","266","172976","30350845","0","","5.64","49","60.0","0.0799","2737.46","80",
21,"si","SLO","15200","298095","6.5","5693","572.6","2.3","1","6.4","0.14","83","19.5","19.4","71.7","1.9","4.5","1.58","30.1","2061085","91385","462.4320","-2.0","21.6","49","71","98","8","103","105559","467.7","0","460.58","137.62","694.34","1484","518","141","16907","1265766","32103","0.99","10.15","25","31.4","0.0838","85.52","75",
22,"sk","SVK","17900","830576","1.0","199786","146.2","1.24","1","15.3","2.75","76","14.7","14.7","55.4","1.5","3.0","1.34","28.7","5415949","72925","605.5145","-0.8","33.7","55","61","90","5","102","190306","3358.7","9.7","467.82","399.91","723.00","337","371","1557149","28514","0.54","6.18","14","20.1","0.1242","51.8","72",
23,"uk","UK","9000","11245800","2.4","108764","468.6","1.95","1","15.4","68.15","106","","","90.6","2.6","4.7","1.92","29.8","64308261","4929710","289.5790","1.3","20.5","85","30","99","30","130","3464423","19515","0","9682","22624","4500.98","832082","448","1802","500860","210468756","262726","0.2","7.42","15","10.8","0.1124","5053.84","",
