indCode,indNameEn,indNameFr,indNameDe
teimf050,"Long term government bond yields - %","Rendements des obligations à long terme du secteur public - %","Langfristige Rendite öffentlicher Anleihen - %"
teibp050_1,"Balance of payments, current account - Million EUR","Balance des paiements, compte courant - Millions d'EUR","Zahlungsbilanz, Leistungsbilanz - Millionen EUR"
teibs010,"Economic sentiment indicator - Index","Indicateur de sentiment économique - Indice","Indikator der wirtschaftlichen Einschätzung - Index"
teicp000_2,"HICP - All items - Percentage change on previous month","IPCH - indice global - Variation en pourcentage par rapport au mois précédent (%)","HVPI - Gesamtindex - Veränderung gegenüber dem Vormonat (%)"
teicp000_3,"HICP - All items - Percentage change compared to corresponding month of the previous year","IPCH - indice global - Variation en pourcentage comparée au mois correspondant de l'année précédente (%)","HVPI - Gesamtindex - Veränderung gegenüber dem Vorjahresmonat (%)"
teicp000_4,"HICP - All items - Percentage change - 12 months average","IPCH - indice global - Variation en pourcentage - Moyenne sur 12 mois","HVPI - Gesamtindex - Prozentveränderung - Durchschnitt über 12 Monat"
teiis010_2,"Industrial domestic output prices - total industry (excluding construction) - Percentage change on previous month","Prix à la production industrielle sur le marché intérieur - ensemble de l'industrie (à l'exception de la construction) - Variation en pourcentage par rapport au mois précédent (%)","Erzeugerpreise der Industrie, Inlandsmarkt - Gesamte Industrie (ohne Baugewerbe) - Veränderung gegenüber dem Vormonat (%)"
teiis010_3,"Industrial domestic output prices - total industry (excluding construction) - Percentage change compared to corresponding month of the previous year","Prix à la production industrielle sur le marché intérieur - ensemble de l'industrie (à l'exception de la construction) - Variation en pourcentage comparée au mois correspondant de l'année précédente (%)","Erzeugerpreise der Industrie, Inlandsmarkt - Gesamte Industrie (ohne Baugewerbe) - Veränderung gegenüber dem Vorjahresmonat (%)"
teiis080_2,"Industrial production - total industry (excluding construction) - Percentage change on previous month","Production industrielle - ensemble de l'industrie (à l'exception de la construction) - Variation en pourcentage par rapport au mois précédent (%)","Industrieproduktion - Gesamte Industrie (ohne Baugewerbe) - Veränderung gegenüber dem Vormonat (%)"
teiis080_3,"Industrial production - total industry (excluding construction) - Percentage change compared to corresponding month of the previous year","Production industrielle - ensemble de l'industrie (à l'exception de la construction) - Variation en pourcentage comparée au mois correspondant de l'année précédente (%)","Industrieproduktion - Gesamte Industrie (ohne Baugewerbe) - Veränderung gegenüber dem Vorjahresmonat (%)"
teilm020_1,"Harmonised unemployment rate - %","Taux de chômage harmonisé - %","Harmonisierte Arbeitslosenquote - %"
teilm100_2,"Labour cost index - Percentage change on previous quarter","Indice du coût de la main-d'oeuvre - Variation en pourcentage par rapport au trimestre précédent (%)","Arbeitskostenindex - Veränderung gegenüber dem vorhergehenden Quartal (%)"
teilm100_1,"Labour cost index - Percentage change compared to corresponding quarter of the previous year","Indice du coût de la main-d'oeuvre - Variation en pourcentage comparée au trimestre correspondant de l'année précédente (%)","Arbeitskostenindex - Veränderung gegenüber dem Vorjahresquartal (%)"
teina011_1,"Gross domestic product, volumes - Percentage change on previous quarter","Produit intérieur brut, volumes - Variation en pourcentage par rapport au trimestre précédent (%)","Bruttoinlandsprodukt, Volumen - Veränderung gegenüber dem vorhergehenden Quartal (%)"
teina011_2,"Gross domestic product, volumes - Percentage change compared to corresponding quarter of the previous year","Produit intérieur brut, volumes - Variation en pourcentage comparée au trimestre correspondant de l'année précédente (%)","Bruttoinlandsprodukt, Volumen - Veränderung gegenüber dem Vorjahresquartal (%)"
teina021_1,"Private final consumption expenditure, volumes - Percentage change on previous quarter","Dépenses privées de consommation finale, volumes - Variation en pourcentage par rapport au trimestre précédent (%)","Private Konsumausgaben, Volumen - Veränderung gegenüber dem vorhergehenden Quartal (%)"
teina021_2,"Private final consumption expenditure, volumes - Percentage change compared to corresponding quarter of the previous year","Dépenses privées de consommation finale, volumes - Variation en pourcentage comparée au trimestre correspondant de l'année précédente (%)","Private Konsumausgaben, Volumen - Veränderung gegenüber dem Vorjahresquartal (%)"