Geo;Data;2020;2020_target
EU27_2020;Data;22.1;20.0
AT;Data;36.5;34.0
BE;Data;13.0;13.0
BG;Data;23.3;16.0
CY;Data;16.9;13.0
CZ;Data;17.3;13.0
DE;Data;19.3;18.0
DK;Data;31.6;30.0
EE;Data;30.2;25.0
EL;Data;21.7;18.0
ES;Data;21.2;20.0
FI;Data;43.8;38.0
FR;Data;19.1;23.0
HR;Data;31.0;20.0
HU;Data;13.9;13.0
IE;Data;16.2;16.0
IT;Data;20.4;17.0
LT;Data;26.8;23.0
LU;Data;11.7;11.0
LV;Data;42.1;40.0
MT;Data;10.7;10.0
NL;Data;14.0;14.0
PL;Data;16.1;15.0
PT;Data;34.0;31.0
RO;Data;24.5;24.0
SE;Data;60.1;49.0
SI;Data;25.0;25.0
SK;Data;17.3;14.0
IS;Data;83.7;64.0
NO;Data;77.4;67.5